method1,method2,ARI,NMI
bert_pool,mean_pool,0.2879959264018627,0.4458268623642681
bert_pool,cuda,0.18422164867948754,0.3243329605154336
bert_pool,mps,0.18422164867948754,0.3243329605154336
mean_pool,mps,0.24147563101294342,0.36076599724134545
cuda,mean_pool,0.24147563101294342,0.3607659972413433
cuda,mps,1,1
